t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz
0.000000000000000000e+00,4.414099687484843715e-01,-2.303543323627256154e-02,7.337233587561051706e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.249609476886305214e-26,0.000000000000000000e+00,0.000000000000000000e+00,5.768472088621812916e-26,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000099998414105e-01,4.414099687484843160e-01,-2.303543323627256154e-02,7.337233587561051706e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.403303952523983078e-26,1.679095406667105092e-02,1.308443071148555903e-01,-2.050277868805506776e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000199996828210e-01,4.414099687484843715e-01,-2.303543323627256501e-02,7.337233587561051706e-01,3.358190981241087562e-03,2.616886273139343300e-02,-4.100555942635548262e-02,-4.017702634406071678e-03,2.492333360011719234e-01,-3.983333050496407624e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000299995242869e-01,4.420816069783139457e-01,-1.780166042830939876e-02,7.255222464607850030e-01,2.554650414183483841e-03,7.601553242392164456e-02,-1.206722244195534977e-01,-7.379773722681721819e-03,3.437824063609359881e-01,-5.300310550615537908e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000399993656419e-01,4.425925370866967690e-01,-2.598553183381801038e-03,7.013878003701711217e-01,1.078695595850572833e-03,1.447720171338783834e-01,-2.266784407320907302e-01,-8.291230695429233424e-03,4.083908648874855496e-01,-5.965378122426464591e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000049999206997e+00,4.428082762166536401e-01,2.635585169109108672e-02,6.560521099570044701e-01,-5.795506261462660949e-04,2.264501941952193620e-01,-3.459860091459035503e-01,1.315946194308260930e-02,4.382790905387949909e-01,-5.841792358609594338e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000059999048574e+00,4.426923660856290077e-01,7.164589279460097104e-02,5.868549046680187065e-01,2.052341894062788274e-03,3.141060166856997626e-01,-4.628218621597951499e-01,4.360312556433363490e-02,4.310580496629484171e-01,-5.022032739499172616e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000069998889929e+00,4.431028344849646250e-01,1.344670992727512726e-01,4.942905276079143650e-01,1.077296744295385723e-02,4.003176309288015156e-01,-5.632625219717316556e-01,8.398801511902423411e-02,3.875551671885831273e-01,-3.577107442120180392e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000079998731284e+00,4.452574280812833796e-01,2.145306294616243781e-01,3.816380175810321074e-01,2.757057130662553257e-02,4.778286682420083697e-01,-6.348046743911859302e-01,1.246423431700419138e-01,3.104551673290525393e-01,-1.668085621006962782e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000089998572639e+00,4.507715426183098173e-01,3.100963678882369678e-01,2.546770763548489303e-01,5.249904118703757616e-02,5.399197048123213216e-01,-6.681663884793843655e-01,1.631485994264305628e-01,2.063303236132782992e-01,5.540618383530817453e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000099998413994e+00,4.612713513806994126e-01,4.180803142498126790e-01,1.210437919774141613e-01,8.512876270378380572e-02,5.811857715982475803e-01,-6.570851511582695981e-01,1.975924932930546440e-01,8.447907361824938399e-02,2.921058319678562776e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000109998255571e+00,4.782971047727302971e-01,5.343174743812277860e-01,-1.037324482498702682e-02,1.246472633382883360e-01,5.980815871666748107e-01,-5.986639818436864102e-01,2.255572192626073280e-01,-4.295698178749177143e-02,5.250722879636103846e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000119998097148e+00,5.032265586868408525e-01,6.539337977952836001e-01,-1.301060471802691909e-01,1.697587094463462176e-01,5.894901903796134768e-01,-4.936495190003247213e-01,2.470971928266326723e-01,-1.618041600959156390e-01,7.378080554862456175e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000129997938281e+00,5.371783022736702495e-01,7.718318417660148256e-01,-2.288359559167510993e-01,2.191781504826054716e-01,5.571293567424143722e-01,-3.460879005251120688e-01,2.566422493413282879e-01,-2.613908994522847751e-01,9.105562965621123439e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000139997779858e+00,5.810139345619380613e-01,8.832577186857027973e-01,-2.980535394825975515e-01,2.705066029172529252e-01,5.048511742380898948e-01,-1.639766321072710642e-01,2.607346401809461089e-01,-3.273493477172915167e-01,1.037903633631361844e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000149997620991e+00,6.351152578504117852e-01,9.842279585817526044e-01,-3.308488675437921689e-01,3.226535335607472188e-01,4.393813014211900292e-01,4.360410499787302496e-02,2.530209576939507210e-01,-3.602907175533204276e-01,1.099886893171218682e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000159997462568e+00,6.996459677890454198e-01,1.072104223259733757e+00,-3.221280461081833524e-01,3.732577276297068258e-01,3.673231543076759253e-01,2.635814946308112083e-01,2.484091921903725797e-01,-3.522363079569461042e-01,1.115166368007040276e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000169997304145e+00,7.742975170475048241e-01,1.145568857794442286e+00,-2.694117445462480553e-01,4.229395685518338444e-01,2.968758891939794475e-01,4.866147793837060642e-01,2.534559629927831681e-01,-3.111081133308518099e-01,1.092889820338227125e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000179997145278e+00,8.588854349872002691e-01,1.204944038601949874e+00,-1.720887838034361739e-01,4.736307636849099167e-01,2.346542634167773367e-01,7.051927543800763365e-01,2.962887420126822935e-01,-2.168487659724807060e-01,1.126920878919820623e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000189996986855e+00,9.536115924604147143e-01,1.251874893631810925e+00,-3.105022587560518632e-02,5.328885150502868928e-01,1.912845080538279063e-01,9.305769414330705702e-01,3.666483602147016518e-01,-1.407244022091928837e-01,1.168063248150002176e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000199996827988e+00,1.060189300799272871e+00,1.290131797155391169e+00,1.550651717166307841e-01,6.062181907596526642e-01,1.631396262047676293e-01,1.164189602743518348e+00,4.346038596606304760e-01,-7.367080388924776568e-02,1.239565531428735268e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
