t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz
0.000000000000000000e+00,-4.056180173941837386e-01,-9.698869450215504007e-02,7.758028595402091110e-01,1.236770461266307616e-26,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000099998414105e-01,-4.056180173941837386e-01,-9.698869450215504007e-02,7.758028595402091110e-01,-5.146535160930313435e-26,0.000000000000000000e+00,0.000000000000000000e+00,-3.011419005648885081e-02,5.033040566071617788e-02,-1.848433184010188357e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000199996828210e-01,-4.056180173941837386e-01,-9.698869450215504007e-02,7.758028595402091110e-01,-6.022838312434894772e-03,1.006608163543930984e-02,-3.696866552860763461e-02,-1.087739715917104312e-02,1.028317257097026566e-01,-3.669250136796655126e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000299995242869e-01,-4.068225851168981722e-01,-9.497547807440795409e-02,7.684091260648068245e-01,-8.198317853041349468e-03,3.063242780568078971e-02,-1.103536719337326888e-01,2.222874554425029528e-02,1.451621081303627880e-01,-4.986736288183013510e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000399993656419e-01,-4.084622487694882786e-01,-8.884899220695238742e-02,7.463383905745410996e-01,-3.752568521907361909e-03,5.966485088335140435e-02,-2.100884026840501573e-01,8.546573017582359544e-02,1.789293971360388646e-01,-5.783565606331674269e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000049999206997e+00,-4.092127625113948786e-01,-7.691602143364305311e-02,7.043207079368802859e-01,1.334057836790110245e-02,9.545073209982476992e-02,-3.257597205941575313e-01,1.599510361266952563e-01,1.986719146087834731e-01,-5.894007848798199500e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000059999048574e+00,-4.065446467044109280e-01,-5.782587405918590551e-02,6.391687605605032019e-01,4.533078719272515267e-02,1.351851170082691012e-01,-4.436398834640358779e-01,2.526051616717406856e-01,2.068684646950740003e-01,-5.395608968845243547e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000069998889929e+00,-3.974784888125652560e-01,-3.078884930570237322e-02,5.504407794313675995e-01,9.585182205308483139e-02,1.765588120159357344e-01,-5.515520682364641880e-01,3.541935861941764574e-01,2.024628845110082731e-01,-4.310266330098655452e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000079998731284e+00,-3.783081234434452766e-01,4.522914863044902312e-03,4.401303602686415517e-01,1.666905428337998318e-01,2.170513909427341515e-01,-6.377573991486351623e-01,4.635515103588068730e-01,1.884346397077963364e-01,-2.760073911999221807e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000089998572639e+00,-3.449700132098063032e-01,4.793319522207120653e-02,3.125788740614416361e-01,2.594008495410027870e-01,2.547383207686099160e-01,-6.929588801486498140e-01,5.714113528970222733e-01,1.659917362790503670e-01,-8.393844583616433264e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000099998413994e+00,-2.930898407076384382e-01,9.888086192313602640e-02,1.739870911022327604e-01,3.736831258344301410e-01,2.879366696843110307e-01,-7.097465701552537753e-01,6.664720857744292903e-01,1.375952938473830045e-01,1.345671157124274930e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000109998255571e+00,-2.183532118039803738e-01,1.564681987393192197e-01,3.203776997382890013e-02,5.069775496539311588e-01,3.154557298297187562e-01,-6.828331456671185018e-01,7.349352235971262637e-01,1.069560173182562690e-01,3.689436246660983687e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000119998097148e+00,-1.169576968034990727e-01,2.195593478597702708e-01,-1.045288659878179649e-01,6.539646017225920760e-01,3.368469343629131862e-01,-6.090444170445210581e-01,7.600205533685437942e-01,7.681847808773338560e-02,6.106388530512418811e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000129997938281e+00,1.383523008056164461e-02,2.869287381007687432e-01,-2.263377554870698027e-01,8.059687199963857518e-01,3.522106307486324583e-01,-4.869166403279810429e-01,7.264792231115894117e-01,4.989833480591846643e-02,8.503181923137745901e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000139997779858e+00,1.750289821393981315e-01,3.573708677725457306e-01,-3.237210884217551210e-01,9.512645718833806496e-01,3.621902982087915612e-01,-3.168529933621790917e-01,6.140283609300888346e-01,1.897208690952012153e-02,1.088954032858086896e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000149997620991e+00,3.652819060285691366e-01,4.298089310361495885e-01,-3.870916902626707068e-01,1.074070250209584687e+00,3.659847157804134721e-01,-9.906217590119406613e-02,4.119756228591665570e-01,-1.325853478317276339e-02,1.314348000020990614e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000159997462568e+00,5.800959668110181600e-01,5.030058778520214435e-01,-4.069041264335154784e-01,1.156465378901109009e+00,3.633330086911956691e-01,1.638074372462756112e-01,1.192363753020707906e-01,-5.219826172437697781e-02,1.514591063429550966e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000169997304145e+00,8.113890541557103875e-01,5.756724832235330380e-01,-3.741426373462120591e-01,1.180312655153867851e+00,3.528933558243459445e-01,4.667256650778562332e-01,-2.551538103444411787e-01,-9.072399926879683163e-02,1.657523242177560974e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000179997145278e+00,1.047451596989423361e+00,6.462511579172798282e-01,-2.807974996634581832e-01,1.129281890533482047e+00,3.347485550633609863e-01,7.982303300883379915e-01,-6.860653705155079773e-01,-1.204939777074929413e-01,1.699246744946937282e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000189996986855e+00,1.273307986388759305e+00,7.132008722773843790e-01,-1.211514256636138098e-01,9.920688095698355635e-01,3.106497583169416932e-01,1.138079696069923541e+00,-1.133468182978005778e+00,-1.107139041775896393e-01,1.576198109846150386e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000199996827988e+00,1.471721758223257348e+00,7.753308270472210051e-01,1.064645249309873198e-01,7.653751616397324042e-01,2.885069763743022819e-01,1.453319333800884738e+00,-1.482003594484662345e+00,-5.661374026117577812e-02,1.273311968952820727e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.200000209996670009e+00,1.624796798204834136e+00,8.330322252071056255e-01,3.971284062241271506e-01,4.689744279229990376e-01,2.771842277559387613e-01,1.707981740324366671e+00,-1.549183391117381348e+00,1.002237169788042399e-02,8.389081128826907374e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000219996511142e+00,1.718591688479103929e+00,8.884690735300916353e-01,7.387247713685469730e-01,1.591377342079345336e-01,2.791887021957369930e-01,1.875763371289852932e+00,-9.762839948736535822e-01,-7.425021548812056615e-02,5.318077384730015567e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000229996352274e+00,1.750419236912042820e+00,9.443068167610818575e-01,1.113877464383853599e+00,-3.611907452948129316e-02,2.643386583556224800e-01,1.982124924302446356e+00,1.155432607438924564e-01,-2.828837832911665906e-01,2.700986133927176305e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000239996194296e+00,1.743195421644961440e+00,9.971745510755509745e-01,1.510302469065277764e+00,-1.301042122528851819e-02,2.077618988685961954e-01,1.987526896840394963e+00,1.580144320452750328e+00,-6.692761741529582586e-01,-5.571403604137626919e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000249996035429e+00,1.740593337269801477e+00,1.038726932926856250e+00,1.907807868308310839e+00,3.030184586664541602e-01,7.390665734534895837e-02,1.876098819186327260e+00,2.925893693334020718e+00,-9.325783748907146009e-01,-1.753072211560823046e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000259995876561e+00,1.801197032033228895e+00,1.053508265134980748e+00,2.283027650906266803e+00,8.881972265917312814e-01,-1.126090269584297809e-01,1.525484359343718621e+00,3.479137429540381632e+00,-1.746027475012076891e-01,-1.567098577273578375e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000269995717694e+00,1.978836486233406688e+00,1.030986458617222379e+00,2.588124538029612065e+00,1.584024747290629920e+00,-1.475295782046711079e-01,1.212064628218265661e+00,1.964471451148346537e+00,6.868865285061761528e-01,-4.546321486743310381e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000279995559715e+00,2.295641451531528876e+00,1.001480541501015731e+00,2.830537475793719171e+00,1.976919057164702176e+00,-1.015226563467953522e-02,3.028002854071097372e-01,-4.792143587248799186e+00,-2.333827078417394507e-01,1.407441857991438505e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.800000289995400848e+00,2.691025282733346735e+00,9.994500882725587676e-01,2.891097535903095928e+00,1.018490291794266422e+00,-5.682880953681748726e-02,5.842886710795928140e-01,1.177961844973672623e+00,-1.006063453580963829e+00,1.867820897426122784e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
