duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.0,0.3535533905932738,5.551115123125783e-16,-5.551115123125783e-15,0.0,3.689072122536776,-4.909245492927848,1.7539648110307544,-0.0212322794709632,-5.136856360362967e-18,-5.312280537163213e-17,-4.602443197140807e-18,0.0,0.22280976211839545,-1.7967208489308255,2.144928817693762,-0.7377887689440163,1.0,0.0,0.0,0.0,2.8844614136321396,-5.236691126665695,3.252149506271933,-0.6918264146660075,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
1.0,0.8661125517619894,0.5852239353956377,-1.0944278974867407,0.0,-2.302241960304206,4.908971766970343,-3.0025704532977615,0.5763045496419603,-0.16677103806268317,-0.3873136726260869,0.05001820098420816,0.0,1.766492135861106,-2.1699061023994655,0.7152365793496908,0.009381739815897577,1.2080933785723702,0.02450215616962125,-0.8062548987712854,0.0,0.5415065144035701,-0.1358635592190745,0.031777838170159334,-0.04122706368076349,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
1.0,0.5373724926812224,-0.2490317382357899,1.245676753406214,0.0,0.8731603552008878,-3.488452197267878,2.7744445715317902,-0.688486025107445,-0.18286215707733194,0.28625241559885517,-0.12452478146459836,0.0,-1.498668817450815,2.1427543000925184,-0.9815729516969427,0.11995975150905512,0.8225343656445976,-0.19922179659843003,0.6950478307157472,0.0,0.06509026393645974,-0.39627055055197224,0.02462600084521721,0.09170926951055827,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
1.0,1.0046842122090036,0.11996745647942636,-1.2414210423467302,0.0,0.29634901468802255,1.026434337288606,-0.8963623835334784,0.18507166397232622,-0.2386622404892599,-0.29342036628927953,0.1065658209917135,0.0,1.217137503609324,-1.3919013334977444,0.320209785487001,0.07560764602286076,1.1035153835021778,0.2596030594642532,-0.5818314187852351,0.0,-0.5592453522948695,0.9774103026033814,-0.27687514363636534,-0.0571319641179151,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
1.0,0.4947232587571758,-0.1279795364134999,1.2420856090841406,0.0,-0.31937473954580636,-1.3313602514952863,1.3534280987543488,-0.3564988714843111,-0.20446318416538403,0.27926685772475374,-0.11871514354469387,0.0,-1.3789803677625763,1.7226579120288619,-0.5627384729477078,-0.01302537686526164,0.8654448667354269,-0.31516428491238674,0.4839010924576635,0.0,1.0187822420516095,-1.5550427712186579,0.5473164746402279,0.015113407176445208,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
1.0,0.9550235676567622,0.046967958231039456,-1.172820162998861,0.0,0.5688125178427835,0.5486703766103993,-0.6228354271965333,0.13413584875587256,-0.2759977755320081,-0.3284038160137066,0.11937176178235714,0.0,1.4039544804088049,-1.6862995058354209,0.4968261552649247,0.0374472580405856,1.060351026930329,0.34224571019257327,-0.4267044971104896,0.0,-1.1827083372758167,1.79672740565805,-0.7113753520149759,0.02831618093777961,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
1.0,0.4579546789014627,-0.07813203523164329,1.2010801260871575,0.0,-0.5058056611260427,-1.0732937402250975,1.2623434104826785,-0.3568773760828121,-0.23310144188446308,0.3377478378827692,-0.08111166629285564,0.0,-1.4784682218807987,1.747942791207023,-0.5093081987875735,-0.03941117282273038,0.9068521373174488,-0.32839845036682164,0.3683290552838419,0.0,1.2666105728216444,-1.8376650149473648,0.6951268692542093,-0.016923700768489012,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
1.0,0.9072694028057035,0.010255701629398586,-1.1259649834189518,0.0,0.7119474140915273,0.561266735383894,-0.8718896639666266,0.2564953219750709,-0.25571007257863,-0.3303618286755772,0.06024930340163903,0.0,1.5837816044259831,-2.0610815625533854,0.8136878962487792,-0.05708767763273326,1.0539314685944694,0.3386721868964479,-0.3371523345850702,0.0,-1.4025652109878841,2.2127166181522173,-1.083257086583759,0.14709246840298681,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
1.0,0.4493799285000151,-0.023421661897190332,1.0664436569462414,0.0,-0.3446643297890226,-2.87917054364506,3.5363677948154426,-1.1587712325914905,-0.24652233736392326,0.3023690171282508,-0.041399482132023914,0.0,-1.2918288765448296,1.6457187079953992,-0.6255091755815542,0.03486605536732603,0.9294381098894077,-0.35220547614578673,0.21470811871614084,0.0,1.143626686485905,-1.6118103213767832,0.689806944625817,-0.06435835499120372,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
1.0,0.6461636123389392,-0.5582362446338693,-1.0819267204281466,0.0,4.790600568681282,-6.439594633315503,3.3554758828282973,-0.6250278170896018,-0.22230609113135583,-0.22814457925616383,0.014363867543522363,0.0,1.812537975470189,-3.638977179551778,2.658113430659932,-0.6863613919874747,0.9492057072034978,0.28099908316267674,-0.04605626156428139,0.0,-1.7074582294365837,3.381121072437131,-2.434191721574224,0.6200701892817003,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
