Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.19869,0,0,0,0,-0.0468071,0.0404105,-0.0105673,0.000850694,0,0,0,0,-0.0355302,0.0285155,-0.00648076,0.000391656,0,0,0,0,0.549432,-0.510077,0.172873,-0.0207781,0,0,0,0,0,0,0,0
2.49339,0,0.146744,0.151142,-0.00870289,0.151665,-0.154403,0.0510784,-0.00571863,0,0.133144,0.151142,0.00870289,0.225153,-0.241138,0.082427,-0.00947447,1,0.622105,-0.0997053,-0.0722038,0.0362729,-0.0531782,0.0246925,-0.00337573,0,0,0,0,0,0,0,0
2.20569,1,0.219184,-0.151142,0.00435145,-0.105737,0.14039,-0.0569807,0.00763808,1,0.134125,-0.151142,0.00047254,0.0598298,-0.0261109,0.00311987,8.73945e-05,1,-0.649771,-0.0461137,0.0722038,-0.303859,0.376746,-0.157527,0.0218341,0,0,0,0,0,0,0,0
