t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz
0.000000000000000000e+00,3.535533905932737309e-01,-7.151173798536867993e-20,8.535533905932737309e-01,7.544866863429324508e-20,9.263142799285574920e-22,-1.965923166091026681e-19,3.749945609525620748e-20,8.888651040898485372e-22,-1.844923801135778835e-22,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000099999932612e-01,3.535533905932737309e-01,-1.150516968559541427e-19,8.535533905932737309e-01,2.675889614969957541e-19,1.056793798020022121e-20,-1.995501180483608404e-19,2.592283759588342118e+00,2.384167900522552230e+00,-3.549057421597697992e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000199999865225e-01,3.535533905932736753e-01,-1.566674580759946825e-19,8.535533905932737309e-01,5.184567778404884919e-01,4.768336039461733566e-01,-7.098115198100898304e-01,7.715933479326144706e-01,-3.086258432024398535e-01,1.879008211181397714e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000299999798115e-01,4.572447513459356738e-01,9.536672555756749159e-02,7.115910795331453764e-01,6.727754551429396823e-01,4.151084322194290577e-01,-3.340098587837408428e-01,2.422092556585329071e+00,-1.428781400539677948e+00,4.134253452155995490e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000399999730449e-01,5.917998491022735674e-01,1.783884161525348400e-01,6.447891044363008861e-01,1.157193990680914775e+00,1.293521378236891228e-01,4.928408729899648733e-01,2.286840937264170481e+00,-9.879434349886242472e-01,6.962899188769032799e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000049999966389e+00,8.232386588103887126e-01,2.042588450107931664e-01,7.433572839626991779e-01,1.614562201002142761e+00,-6.823655905346340256e-02,6.320988637282399791e-01,1.306358020032803324e+00,-1.290631336574821653e+00,-1.173318578293071957e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000059999959623e+00,1.146151115156428535e+00,1.906115325177353270e-01,8.697770630293316652e-01,1.875833818072274894e+00,-3.263628392747324192e-01,3.974351363364476697e-01,-2.738349384691553201e+00,-2.236502153199735332e+00,-1.115901535235594766e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000069999952856e+00,1.521317897529208985e+00,1.253389613991626739e-01,9.492640942709698049e-01,1.328163913750488812e+00,-7.736632922796859990e-01,1.742548181303208987e-01,-4.609390830824256824e+00,-1.549857324810540060e+00,-1.162522555200206975e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000079999946090e+00,1.786950693560936942e+00,-2.939370479340222553e-02,9.841150596395811245e-01,4.062857014917601317e-01,-1.083634772740356800e+00,-5.824970453493820421e-02,-4.949307134557485277e+00,-1.206086760656437940e-01,-6.998661907812218086e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000089999939323e+00,1.868207837922142955e+00,-2.461206701778139994e-01,9.724651181500967301e-01,-5.835757749127749028e-01,-1.107756509159571578e+00,-1.982229496898397225e-01,-4.303770542045286085e+00,2.431006040192659867e+00,7.535044816448621674e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
