0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
1.909830056250525487e-01,2.938926261462365686e-01,5.000000000000000000e-01
6.909830056250525487e-01,4.755282581475767656e-01,5.000000000000000000e-01
1.309016994374947451e+00,4.755282581475767656e-01,5.000000000000000000e-01
1.809016994374947451e+00,2.938926261462366241e-01,5.000000000000000000e-01
2.000000000000000000e+00,6.123233995736766036e-17,5.000000000000000000e-01
1.809016994374947229e+00,-2.938926261462366796e-01,5.000000000000000000e-01
1.309016994374947451e+00,-4.755282581475767656e-01,5.000000000000000000e-01
6.909830056250527708e-01,-4.755282581475768211e-01,5.000000000000000000e-01
1.909830056250526598e-01,-2.938926261462366796e-01,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
1.909830056250525487e-01,2.938926261462365686e-01,5.000000000000000000e-01
6.909830056250525487e-01,4.755282581475767656e-01,5.000000000000000000e-01
1.309016994374947451e+00,4.755282581475767656e-01,5.000000000000000000e-01
1.809016994374947451e+00,2.938926261462366241e-01,5.000000000000000000e-01
2.000000000000000000e+00,6.123233995736766036e-17,5.000000000000000000e-01
1.809016994374947229e+00,-2.938926261462366796e-01,5.000000000000000000e-01
1.309016994374947451e+00,-4.755282581475767656e-01,5.000000000000000000e-01
6.909830056250527708e-01,-4.755282581475768211e-01,5.000000000000000000e-01
1.909830056250526598e-01,-2.938926261462366796e-01,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
1.909830056250525487e-01,2.938926261462365686e-01,5.000000000000000000e-01
6.909830056250525487e-01,4.755282581475767656e-01,5.000000000000000000e-01
1.309016994374947451e+00,4.755282581475767656e-01,5.000000000000000000e-01
1.809016994374947451e+00,2.938926261462366241e-01,5.000000000000000000e-01
2.000000000000000000e+00,6.123233995736766036e-17,5.000000000000000000e-01
1.809016994374947229e+00,-2.938926261462366796e-01,5.000000000000000000e-01
1.309016994374947451e+00,-4.755282581475767656e-01,5.000000000000000000e-01
6.909830056250527708e-01,-4.755282581475768211e-01,5.000000000000000000e-01
1.909830056250526598e-01,-2.938926261462366796e-01,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
1.909830056250525487e-01,2.938926261462365686e-01,5.000000000000000000e-01
6.909830056250525487e-01,4.755282581475767656e-01,5.000000000000000000e-01
1.309016994374947451e+00,4.755282581475767656e-01,5.000000000000000000e-01
1.809016994374947451e+00,2.938926261462366241e-01,5.000000000000000000e-01
2.000000000000000000e+00,6.123233995736766036e-17,5.000000000000000000e-01
1.809016994374947229e+00,-2.938926261462366796e-01,5.000000000000000000e-01
1.309016994374947451e+00,-4.755282581475767656e-01,5.000000000000000000e-01
6.909830056250527708e-01,-4.755282581475768211e-01,5.000000000000000000e-01
1.909830056250526598e-01,-2.938926261462366796e-01,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
1.909830056250525487e-01,2.938926261462365686e-01,5.000000000000000000e-01
6.909830056250525487e-01,4.755282581475767656e-01,5.000000000000000000e-01
1.309016994374947451e+00,4.755282581475767656e-01,5.000000000000000000e-01
1.809016994374947451e+00,2.938926261462366241e-01,5.000000000000000000e-01
2.000000000000000000e+00,6.123233995736766036e-17,5.000000000000000000e-01
1.809016994374947229e+00,-2.938926261462366796e-01,5.000000000000000000e-01
1.309016994374947451e+00,-4.755282581475767656e-01,5.000000000000000000e-01
6.909830056250527708e-01,-4.755282581475768211e-01,5.000000000000000000e-01
1.909830056250526598e-01,-2.938926261462366796e-01,5.000000000000000000e-01
0.000000000000000000e+00,-1.224646799147353207e-16,5.000000000000000000e-01
